API VERSION: 1.0
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / WWW_USER Fri Sep 11 04:04:24 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : B.C. 1500-Dec-20 20:05:09.3650 TT      
Stop  time      : A.D. 1001-Dec-22 00:13:13.4630 TT      
Step-size       : 0 steps
*******************************************************************************
Target pole/equ : IAU_SUN                         {East-longitude positive}
Target radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.260910.p261207                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-10. PREDICTS-> 2026-DEC-06
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(TT)__HR:MN:SC.fff, , ,    ObsEcLon,   ObsEcLat,
b1301-Dec-21 03:55:08.477, , , 270.0000000, -0.0002148,
b1300-Dec-21 09:43:50.445, , , 270.0000000, -0.0000096,
b1299-Dec-21 15:32:46.705, , , 270.0000000, -0.0000684,
b1298-Dec-21 21:28:38.567, , , 270.0000000, -0.0000891,
b1297-Dec-21 03:16:11.519, , , 270.0000000,  0.0001960,
b1296-Dec-21 09:04:53.934, , , 270.0000000, -0.0002005,
b1295-Dec-21 14:58:04.559, , , 270.0000000,  0.0001397,
b1294-Dec-21 20:45:46.150, , , 270.0000000, -0.0001168,
b1293-Dec-21 02:33:44.232, , , 270.0000000, -0.0000201,
b1292-Dec-21 08:19:26.380, , , 270.0000000,  0.0000038,
b1291-Dec-21 14:07:18.189, , , 270.0000000, -0.0002464,
b1290-Dec-21 20:03:23.073, , , 270.0000000,  0.0000508,
b1289-Dec-21 01:50:08.620, , , 270.0000000, -0.0001619,
b1288-Dec-21 07:35:10.119, , , 270.0000000,  0.0001259,
b1287-Dec-21 13:25:39.504, , , 270.0000000,  0.0000254,
b1286-Dec-21 19:14:23.987, , , 270.0000000,  0.0000233,
b1285-Dec-21 01:03:31.545, , , 270.0000000,  0.0000773,
b1284-Dec-21 06:51:59.393, , , 270.0000000, -0.0002499,
b1283-Dec-21 12:40:00.080, , , 270.0000000, -0.0000035,
b1282-Dec-21 18:33:27.261, , , 270.0000000, -0.0002155,
b1281-Dec-21 00:20:07.355, , , 270.0000000,  0.0001149,
b1280-Dec-21 06:09:17.861, , , 270.0000000, -0.0000160,
b1279-Dec-21 12:06:48.192, , , 270.0000000, -0.0000537,
b1278-Dec-21 18:04:43.052, , , 270.0000000,  0.0000810,
b1277-Dec-20 23:56:34.744, , , 270.0000000, -0.0002511,
b1276-Dec-21 05:45:22.627, , , 270.0000000,  0.0000923,
b1275-Dec-21 11:33:00.013, , , 270.0000000, -0.0001879,
b1274-Dec-21 17:22:21.168, , , 270.0000000, -0.0000104,
b1273-Dec-20 23:08:37.796, , , 270.0000000,  0.0000577,
b1272-Dec-21 04:52:23.193, , , 270.0000000, -0.0001616,
b1271-Dec-21 10:40:46.561, , , 270.0000000,  0.0001417,
b1270-Dec-21 16:30:32.933, , , 270.0000000, -0.0001482,
b1269-Dec-20 22:13:43.503, , , 270.0000000,  0.0001423,
b1268-Dec-21 04:01:31.206, , , 270.0000000, -0.0001161,
b1267-Dec-21 09:54:50.365, , , 270.0000000, -0.0001372,
b1266-Dec-21 15:47:50.182, , , 270.0000000, -0.0000242,
b1265-Dec-20 21:40:39.329, , , 270.0000000, -0.0001551,
b1264-Dec-21 03:27:43.425, , , 270.0000000,  0.0001516,
b1263-Dec-21 09:19:09.695, , , 270.0000000, -0.0000641,
b1262-Dec-21 15:15:49.693, , , 270.0000000,  0.0001258,
b1261-Dec-20 21:03:58.309, , , 270.0000000, -0.0000872,
b1260-Dec-21 02:54:02.940, , , 270.0000000, -0.0001630,
b1259-Dec-21 08:46:16.111, , , 270.0000000, -0.0000449,
b1258-Dec-21 14:33:13.031, , , 270.0000000, -0.0002446,
b1257-Dec-20 20:20:31.036, , , 270.0000000,  0.0002072,
b1256-Dec-21 02:07:47.703, , , 270.0000000, -0.0001290,
b1255-Dec-21 07:59:01.351, , , 270.0000000,  0.0000593,
b1254-Dec-21 13:56:32.703, , , 270.0000000,  0.0000090,
b1253-Dec-20 19:42:22.491, , , 270.0000000, -0.0001209,
b1252-Dec-21 01:27:08.407, , , 270.0000000,  0.0001189,
b1251-Dec-21 07:17:37.517, , , 270.0000000, -0.0002117,
b1250-Dec-21 13:03:56.189, , , 270.0000000,  0.0000963,
b1249-Dec-20 18:50:35.422, , , 269.9999999, -0.0001190,
b1248-Dec-21 00:38:53.350, , , 270.0000000, -0.0000797,
b1247-Dec-21 06:25:27.470, , , 270.0000000,  0.0000514,
b1246-Dec-21 12:20:35.406, , , 270.0000000, -0.0001293,
b1245-Dec-20 18:07:51.274, , , 270.0000000,  0.0001480,
b1244-Dec-20 23:57:17.592, , , 270.0000000, -0.0002096,
b1243-Dec-21 05:58:49.541, , , 270.0000000, -0.0000501,
b1242-Dec-21 11:51:15.896, , , 270.0000000, -0.0001846,
b1241-Dec-20 17:42:03.446, , , 270.0000000, -0.0000338,
b1240-Dec-20 23:32:41.372, , , 270.0000000,  0.0001066,
b1239-Dec-21 05:18:04.933, , , 270.0000000, -0.0000692,
b1238-Dec-21 11:13:49.527, , , 270.0000000,  0.0002256,
b1237-Dec-20 17:00:12.426, , , 270.0000000, -0.0001670,
